Assembly	scaffolds
# contigs (>= 0 bp)	16841
# contigs (>= 1000 bp)	215
# contigs (>= 5000 bp)	137
# contigs (>= 10000 bp)	108
# contigs (>= 25000 bp)	42
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	5838538
Total length (>= 1000 bp)	3597317
Total length (>= 5000 bp)	3396960
Total length (>= 10000 bp)	3188766
Total length (>= 25000 bp)	2067366
Total length (>= 50000 bp)	1028712
# contigs	240
Largest contig	158068
Total length	3616194
GC (%)	46.45
N50	30155
N90	7923
auN	45272.3
L50	33
L90	116
# N's per 100 kbp	100.44
